id,date,mag,depth,latitude,longitude,Daerah_Terdampak,Populasi_Daerah,Meninggal,Hilang,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,SITUBONDO,686413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,SUMENEP,1093150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,SURABAYA,2908309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,KAMPAR,868723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,LABUHANBATU SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,MANDAILING NATAL,452894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,PADANG LAWAS,291772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,PADANG LAWAS UTARA,281753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,PASAMAN,286060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,ROKAN HILIR,714190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdug,2025-09-07,4.3,199.351,1.0681,100.1885,ROKAN HULU,701882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdxx,2025-10-01,4.8,174.854,-8.2166,118.1282,BIMA,179822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdxx,2025-10-01,4.8,174.854,-8.2166,118.1282,DOMPU,260831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdxx,2025-10-01,4.8,174.854,-8.2166,118.1282,SUMBAWA,470512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdym,2025-10-01,4.3,106.656,-8.8055,123.6584,ALOR,206952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdym,2025-10-01,4.3,106.656,-8.8055,123.6584,FLORES TIMUR,257937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdym,2025-10-01,4.3,106.656,-8.8055,123.6584,KUPANG,390658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdym,2025-10-01,4.3,106.656,-8.8055,123.6584,LEMBATA,145825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdz7,2025-10-01,5.6,146.835,-7.322,128.3436,MALUKU BARAT DAYA,73476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re1i,2025-09-08,4.7,49.04,1.2814,126.4633,TERNATE,234885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re2s,2025-10-02,4.1,60.199,-2.9393,137.2052,DOGIYAI,97771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re2s,2025-10-02,4.1,60.199,-2.9393,137.2052,INTAN JAYA,50499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re2s,2025-10-02,4.1,60.199,-2.9393,137.2052,MAMBERAMO RAYA,24049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re2s,2025-10-02,4.1,60.199,-2.9393,137.2052,PUNCAK,111393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re2s,2025-10-02,4.1,60.199,-2.9393,137.2052,PUNCAK JAYA,127159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re2s,2025-10-02,4.1,60.199,-2.9393,137.2052,WAROPEN,31959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re95,2025-09-09,4.4,10.0,-10.4808,124.6142,KUPANG,390658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re95,2025-09-09,4.4,10.0,-10.4808,124.6142,TIMOR TENGAH SELATAN,470615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9i,2025-09-08,4.2,35.0,-1.9845,139.1742,JAYAPURA,302800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9i,2025-09-08,4.2,35.0,-1.9845,139.1742,MAMBERAMO RAYA,24049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9i,2025-09-08,4.2,35.0,-1.9845,139.1742,SARMI,39753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9i,2025-09-08,4.2,35.0,-1.9845,139.1742,YALIMO,66067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9p,2025-09-08,4.1,8.364,-7.9282,117.6939,BIMA,179822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9p,2025-09-08,4.1,8.364,-7.9282,117.6939,DOMPU,260831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9p,2025-09-08,4.1,8.364,-7.9282,117.6939,PANGKAJENE DAN KEPULAUAN,337123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9p,2025-09-08,4.1,8.364,-7.9282,117.6939,SUMBAWA,470512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,AGAM,497299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,BUKITTINGGI,134217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,LIMA PULUH KOTA,388368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,PADANG PANJANG,54889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,PADANG PARIAMAN,419446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,PARIAMAN,90228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,PASAMAN,286060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
